height,weight,sixty_time,exit_velo_max,exit_velo_avg,distance_max,inf_velo,three_section_commit_group,primary_position_2B,primary_position_3B,primary_position_SS,throwing_hand_R,hitting_handedness_R,hitting_handedness_S,player_region_Northeast,player_region_South,player_region_West,power_speed,size_ratio,arm_strength_size,inf_velo_squared,sixty_time_squared,is_middle_infielder,elite_tools,southern_ss,South_tall,South_power,West_tall,West_power,Northeast_tall,Northeast_power
73.0,180.0,7.41,89.3,81.8,320.0,79.0,0,False,True,False,True,True,False,True,False,False,661.713,13140.0,5767.0,6241.0,54.908100000000005,False,False,False,False,False,False,False,False,False
73.0,200.0,7.59,86.7,80.8,312.0,73.0,0,False,False,True,True,True,False,False,False,False,658.053,14600.0,5329.0,5329.0,57.6081,True,False,False,False,False,False,False,False,False
67.0,143.0,7.43,85.7,78.3,306.0,78.0,0,False,False,True,True,True,False,False,False,False,636.751,9581.0,5226.0,6084.0,55.204899999999995,True,False,False,False,False,False,False,False,False
71.0,200.0,7.08,90.4,78.8,264.0,76.0,0,False,False,False,True,True,False,True,False,False,640.032,14200.0,5396.0,5776.0,50.126400000000004,False,False,False,False,False,False,False,False,False
71.0,175.0,7.72,86.8,78.0,269.0,73.0,0,False,False,True,True,True,False,True,False,False,670.096,12425.0,5183.0,5329.0,59.5984,True,False,False,False,False,False,False,False,False
74.0,190.0,7.19,97.9,87.5,358.0,77.0,0,False,False,True,True,True,False,False,False,False,703.9010000000001,14060.0,5698.0,5929.0,51.69610000000001,True,False,False,False,False,False,False,False,False
74.0,185.0,7.05,96.5,88.2,307.0,80.0,1,False,True,False,True,False,False,True,False,False,680.3249999999999,13690.0,5920.0,6400.0,49.7025,False,False,False,False,False,False,False,True,True
69.0,165.0,7.67,88.1,80.0,282.0,81.0,1,True,False,False,True,False,False,False,True,False,675.727,11385.0,5589.0,6561.0,58.8289,True,False,False,False,False,False,False,False,False
69.0,142.0,7.38,82.7,78.9,278.0,72.0,0,False,False,True,True,True,False,False,True,False,610.326,9798.0,4968.0,5184.0,54.4644,True,False,True,False,False,False,False,False,False
73.0,185.0,7.76,92.2,83.5,329.0,83.0,0,False,True,False,True,True,False,False,True,False,715.472,13505.0,6059.0,6889.0,60.2176,False,False,False,False,False,False,False,False,False
72.0,187.0,6.93,100.7,89.3,345.0,87.0,1,False,True,False,True,True,False,False,False,False,697.851,13464.0,6264.0,7569.0,48.024899999999995,False,False,False,False,False,False,False,False,False
71.0,165.0,6.86,90.3,85.8,325.0,82.0,1,False,False,True,True,True,False,True,False,False,619.458,11715.0,5822.0,6724.0,47.0596,True,False,False,False,False,False,False,False,False
73.0,185.0,7.27,88.7,80.6,303.0,77.0,1,False,False,True,True,True,False,True,False,False,644.8489999999999,13505.0,5621.0,5929.0,52.85289999999999,True,False,False,False,False,False,False,False,False
72.0,180.0,6.94,92.8,80.9,345.0,85.0,1,False,False,True,True,True,False,False,False,True,644.032,12960.0,6120.0,7225.0,48.1636,True,False,False,False,False,False,False,False,False
72.0,181.0,6.84,98.8,90.4,375.0,90.0,1,False,False,True,True,True,False,False,True,False,675.7919999999999,13032.0,6480.0,8100.0,46.785599999999995,True,False,True,False,True,False,False,False,False
68.0,155.0,6.97,87.9,83.1,307.0,80.0,0,False,False,True,True,True,False,False,False,False,612.663,10540.0,5440.0,6400.0,48.5809,True,False,False,False,False,False,False,False,False
70.0,159.0,6.88,89.6,84.9,322.0,90.0,1,False,False,True,True,True,False,False,False,False,616.448,11130.0,6300.0,8100.0,47.334399999999995,True,False,False,False,False,False,False,False,False
70.0,191.0,6.9,95.8,86.9,368.0,89.0,1,False,False,True,True,True,False,True,False,False,661.02,13370.0,6230.0,7921.0,47.61000000000001,True,False,False,False,False,False,False,False,True
71.0,190.0,7.18,97.0,89.7,367.0,83.0,1,False,False,True,True,True,False,True,False,False,696.4599999999999,13490.0,5893.0,6889.0,51.5524,True,False,False,False,False,False,False,False,True
68.0,164.0,7.21,92.8,80.7,330.0,81.0,1,False,False,True,True,False,True,True,False,False,669.088,11152.0,5508.0,6561.0,51.9841,True,False,False,False,False,False,False,False,False
73.0,175.0,7.25,84.4,69.2,246.0,76.0,0,False,False,True,True,True,False,False,False,False,611.9000000000001,12775.0,5548.0,5776.0,52.5625,True,False,False,False,False,False,False,False,False
73.0,215.8,7.56,95.0,90.0,339.0,85.0,0,False,False,False,True,False,False,False,True,False,718.1999999999999,15753.400000000001,6205.0,7225.0,57.1536,False,False,False,False,False,False,False,False,False
73.0,180.0,7.21,88.6,80.2,301.0,82.0,0,False,False,True,True,True,False,True,False,False,638.8059999999999,13140.0,5986.0,6724.0,51.9841,True,False,False,False,False,False,False,False,False
