primary_position,height,weight,throwing_hand,FastballVelocity (max),FastballVelo Range,FastballSpin Rate (avg),Changeup Velo Range,Changeup Spin Rate (avg),Curveball Velo Range,Curveball Spin Rate (avg),Slider Velo Range,Slider Spin Rate (avg),Region,group,num_pitches,fb_ch_velo_diff,fb_cb_velo_diff,fb_sl_velo_diff,FastballVelocity (max)_missing,FastballVelo Range_missing,FastballSpin Rate (avg)_missing,Changeup Velo Range_missing,Changeup Spin Rate (avg)_missing,Curveball Velo Range_missing,Curveball Spin Rate (avg)_missing,Slider Velo Range_missing,Slider Spin Rate (avg)_missing
RHP,74.0,225.0,R,91.0,89.5,2325.0,81.5,1787.0,77.0,2240.0,,,Midwest,D2,3,8.0,12.5,,0,0,0,0,0,0,0,1,1
RHP,76.0,180.0,R,87.0,84.5,2067.0,78.5,1661.0,76.5,2022.0,,,Northeast,D3,3,6.0,8.0,,0,0,0,0,0,0,0,1,1
LHP,70.0,160.0,L,81.0,80.0,2121.0,69.5,1670.0,65.4,1942.0,,,West,Power 4,3,10.5,14.599999999999994,,0,0,0,0,0,0,0,1,1
RHP,75.0,195.0,R,85.8,83.0,2151.0,72.2,1719.0,66.8,1883.0,66.6,1866.0,West,JC,4,10.799999999999995,16.200000000000003,16.400000000000006,0,0,0,0,0,0,0,0,0
RHP,71.0,170.0,R,90.0,87.3,2216.0,81.3,1952.0,75.0,2360.0,70.5,,Northeast,Mid Major,4,6.0,12.299999999999995,16.799999999999997,0,0,0,0,0,0,0,0,1
LHP,77.0,215.0,L,85.0,83.5,,78.0,,73.0,,,,Midwest,D2,3,5.5,10.5,,0,0,1,0,1,0,1,1,1
RHP,75.0,200.0,R,87.0,85.0,2141.0,71.5,1796.0,74.6,2246.0,73.5,2066.0,Midwest,D2,4,13.5,10.400000000000006,11.5,0,0,0,0,0,0,0,0,0
RHP,75.0,200.0,R,89.3,87.7,2083.0,61.5,,68.0,,79.4,2020.0,South,JC,4,26.200000000000003,19.700000000000003,8.299999999999997,0,0,0,0,1,0,1,0,0
RHP,73.0,145.0,R,,,,,,,,,,West,JC,0,,,,1,1,1,1,1,1,1,1,1
LHP,77.0,190.0,L,,,,,,,,,,West,Mid Major,0,,,,1,1,1,1,1,1,1,1,1
LHP,74.0,207.0,L,,,,,,,,,,Northeast,Power 4,0,,,,1,1,1,1,1,1,1,1,1
LHP,70.0,170.0,R,,84.0,,75.5,,70.5,,67.5,,South,Power 4,4,8.5,13.5,16.5,1,0,1,0,1,0,1,0,1
LHP,75.0,200.0,L,88.0,86.0,,79.0,,70.5,,74.5,,South,Power 4,4,7.0,15.5,11.5,0,0,1,0,1,0,1,0,1
RHP,75.0,220.0,R,86.8,87.5,1995.0,77.5,,69.8,2034.0,74.5,2006.0,Midwest,JC,4,10.0,17.700000000000003,13.0,0,0,0,0,1,0,0,0,0
RHP,74.0,190.0,R,88.0,87.5,,77.5,,,,74.5,,West,Mid Major,3,10.0,,13.0,0,0,1,0,1,1,1,0,1
RHP,75.0,195.0,R,88.0,84.5,1846.0,,,76.0,1781.0,79.0,1814.0,South,Mid Major,3,,8.5,5.5,0,0,0,1,1,0,0,0,0
LHP,68.0,130.0,L,,429.5,,,,67.0,,,,West,NAIA,2,,362.5,,1,0,1,1,1,0,1,1,1
RHP,74.0,220.0,R,88.3,87.7,2200.0,83.3,2020.0,74.7,1889.0,73.5,,Midwest,JC,4,4.400000000000006,13.0,14.200000000000005,0,0,0,0,0,0,0,0,1
RHP,77.0,173.0,R,84.0,82.5,,76.5,,73.5,,,,South,Mid Major,3,6.0,9.0,,0,0,1,0,1,0,1,1,1
RHP,73.0,210.0,R,90.0,88.7,2128.0,81.0,1551.0,74.8,2103.0,,,Midwest,Low Major,3,7.700000000000003,13.900000000000006,,0,0,0,0,0,0,0,1,1
RHP,77.0,205.0,R,83.0,82.0,1831.0,72.5,1738.0,75.5,1928.0,74.0,1892.0,Midwest,D2,4,9.5,6.5,8.0,0,0,0,0,0,0,0,0,0
